,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.50:0.95,all,100,0.32783460605247666
1,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.50,all,100,0.5252600241133865
2,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.75,all,100,0.3433936573394228
3,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.50:0.95,small,100,0.12734647157869
4,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.50:0.95,medium,100,0.3630907839227384
5,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_precision,0.50:0.95,large,100,0.5018977406904637
6,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,all,1,0.2866229574185881
7,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,all,10,0.42641771238445697
8,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,all,100,0.4443597260100476
9,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,small,100,0.1960217430473353
10,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,medium,100,0.4989276347126884
11,Faster R-CNN MobileNetV3-Large FPN,800,19.4,9.0,12.241779956620121,304.75732421875,bbox,avg_recall,0.50:0.95,large,100,0.6482507432149172
