,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.50:0.95,all,100,0.2276529275713615
1,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.50,all,100,0.37977794166229134
2,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.75,all,100,0.23195535109492152
3,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.50:0.95,small,100,0.025860099758542567
4,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.50:0.95,medium,100,0.21798475923606975
5,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_precision,0.50:0.95,large,100,0.4428602887511568
6,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,all,1,0.21545687451617698
7,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,all,10,0.2901678980692484
8,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,all,100,0.2937023106514519
9,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,small,100,0.0372776564914031
10,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,medium,100,0.29564746047204676
11,Faster R-CNN MobileNetV3-Large 320 FPN,320,19.4,1.4,41.96449358466252,195.66943359375,bbox,avg_recall,0.50:0.95,large,100,0.5690000244293393
